Index,geohash,day,timestamp,demand,RoadType,NumberofLanes,LargeVehicles,Landmarks,Temperature,Weather
0,qp02z1,48,0:0,0.0488042949024875,,1,Not Allowed,No,,
1,qp02zt,48,0:0,0.1185072915415505,Residential,3,Allowed,Yes,31.104564604387004,Sunny
2,qp08bj,48,0:0,0.0271317062001134,Residential,1,Not Allowed,No,25.91926731826868,Sunny
3,qp08gt,48,0:0,0.0032715267668777,Residential,1,Not Allowed,No,,Rainy
4,qp02zq,48,0:0,0.0108193962352523,Residential,1,Not Allowed,No,10.803667437719188,Rainy
5,qp02zw,48,0:0,0.0162622793894155,Residential,2,Not Allowed,Yes,8.446025217429987,Rainy
6,qp02zy,48,0:0,0.0422474543815316,Residential,3,Allowed,Yes,15.772408216444397,Foggy
7,qp08by,48,0:0,0.0401354627300932,Residential,1,Not Allowed,No,2.7051432662852353,Snowy
8,qp08gq,48,0:0,0.0010020345130475,Residential,1,Not Allowed,No,18.136898660920846,Foggy
9,qp08gy,48,0:0,0.0039484383575523,Residential,3,Allowed,Yes,12.738208945925855,Rainy
10,qp02zp,48,0:0,0.0177802395047849,Residential,1,Not Allowed,No,8.240079709262693,Rainy
11,qp02zr,48,0:0,0.0890601277643069,Residential,2,Not Allowed,Yes,19.245380952519394,Sunny
12,qp02zx,48,0:0,0.0500956084079046,Residential,3,Allowed,Yes,8.160115459038007,Rainy
13,qp02zz,48,0:0,0.1525977123766266,Residential,1,Not Allowed,No,11.509704872334957,Rainy
14,qp08br,48,0:0,0.0118702526315578,Residential,1,Not Allowed,No,16.33667107091718,Foggy
15,qp08bx,48,0:0,0.0050907495014671,Residential,1,Not Allowed,No,4.696763714255914,Snowy
16,qp08bz,48,0:0,0.0014920623887245,Residential,1,Not Allowed,No,19.266717136818052,Sunny
17,qp08cp,48,0:0,0.0032837687608653,Residential,3,Allowed,Yes,24.318534306717417,Sunny
18,qp08fz,48,0:0,0.0012974151672281,Residential,2,Not Allowed,Yes,-0.2484591287999116,Snowy
19,qp08gp,48,0:0,0.0032755369177799,Residential,2,Not Allowed,Yes,7.382247826396348,Rainy
20,qp08gr,48,0:0,0.0439728849401332,Residential,2,Not Allowed,Yes,16.500897559653527,Foggy
21,qp08gz,48,0:0,0.0329734774128934,Residential,3,Allowed,Yes,17.745036556781237,Foggy
22,qp03p0,48,0:0,0.0094805280613094,Residential,1,Not Allowed,No,5.375956134252942,Snowy
23,qp03p2,48,0:0,0.0490435101474348,Residential,2,Not Allowed,Yes,26.037601246494845,Sunny
24,qp0900,48,0:0,0.0057459436413194,Residential,3,Allowed,Yes,12.13038258301014,Rainy
25,qp090b,48,0:0,0.1081009353894617,Residential,1,Not Allowed,No,29.27851234778877,Sunny
26,qp094b,48,0:0,0.0128762581568748,Residential,3,Allowed,Yes,13.919406119242153,Rainy
27,qp0950,48,0:0,0.0466793974170952,Residential,2,Not Allowed,Yes,13.87855299119968,Rainy
28,qp0952,48,0:0,0.0051142529898034,Residential,1,Not Allowed,No,23.845024707393268,Sunny
29,qp0958,48,0:0,0.0181345060438591,Residential,1,Not Allowed,No,19.78228985184643,Sunny
30,qp095b,48,0:0,0.0155656372402501,Residential,2,Not Allowed,Yes,11.524956944937433,Rainy
31,qp090c,48,0:0,0.1038037660951269,Residential,1,Not Allowed,No,,Sunny
32,qp0949,48,0:0,0.0052784302674281,Residential,2,Not Allowed,Yes,20.40724561816188,Sunny
33,qp094c,48,0:0,0.0079516958584448,Residential,2,Not Allowed,Yes,14.388959254855962,Foggy
34,qp0951,48,0:0,0.0204638018861602,Residential,1,Not Allowed,No,14.64553944209739,Foggy
35,qp0959,48,0:0,0.0075813562323335,Residential,1,Not Allowed,No,10.138902302145711,Rainy
36,qp095c,48,0:0,0.0114616587846068,Residential,2,Not Allowed,Yes,6.618796508944126,Snowy
37,qp03p6,48,0:0,0.0369505530202992,Residential,1,Not Allowed,No,6.290247289533616,Snowy
38,qp03pf,48,0:0,0.0010644082621131,Residential,3,Allowed,Yes,3.8058478822175985,Snowy
39,qp0944,48,0:0,0.0075865943255815,Residential,3,Allowed,Yes,23.189392783980697,Sunny
40,qp03p7,48,0:0,0.0443056089219072,Residential,3,Allowed,Yes,19.18762610115424,Sunny
41,qp03pe,48,0:0,0.0602099948825779,Residential,1,Not Allowed,No,24.07865571376893,Sunny
42,qp0907,48,0:0,0.0098409057395842,Residential,3,Allowed,Yes,22.78211209217337,Sunny
43,qp090e,48,0:0,0.0956787131079451,Residential,3,Allowed,Yes,16.77558361355027,Foggy
44,qp0945,48,0:0,0.0377529692891855,Residential,2,Not Allowed,Yes,24.6618428435877,Sunny
45,qp0957,48,0:0,0.0058714727900774,Residential,2,Not Allowed,Yes,22.19329466143129,Sunny
46,qp09h5,48,0:0,0.0242471248985706,Residential,1,Not Allowed,No,17.331039338762622,Foggy
47,qp03ps,48,0:0,0.0091907417353093,Residential,2,Not Allowed,Yes,14.167410454325559,Foggy
48,qp094k,48,0:0,0.0032289522141094,Residential,1,Not Allowed,No,9.49519857624944,Rainy
49,qp094u,48,0:0,0.0050898738793403,Residential,2,Not Allowed,Yes,15.899204844631244,Foggy
50,qp095k,48,0:0,0.0489337124363825,Residential,2,Not Allowed,Yes,15.53374657832914,Foggy
51,qp095s,48,0:0,0.006016012501686,Residential,3,Allowed,Yes,8.560095137613802,Rainy
52,qp09hh,48,0:0,0.0242406169720421,Residential,3,Allowed,Yes,12.915038566095145,Rainy
53,qp09hs,48,0:0,0.050291695756294,Residential,2,Not Allowed,Yes,7.001167553544823,Rainy
54,qp09jk,48,0:0,0.0216871474754915,Residential,3,Allowed,Yes,7.43322417938726,Rainy
55,qp090m,48,0:0,0.0271842884360591,Residential,1,Not Allowed,No,18.352740190042493,Foggy
56,qp090t,48,0:0,0.271214984125993,Street,1,Not Allowed,Yes,13.217287468487726,Rainy
57,qp091t,48,0:0,0.04153877642129,Residential,1,Not Allowed,No,20.880382617966433,Sunny
58,qp094j,48,0:0,0.0125820485726579,Residential,1,Not Allowed,No,25.895786352847463,Sunny
59,qp095j,48,0:0,0.0196171918846455,Residential,2,Not Allowed,Yes,13.184334181172016,Rainy
60,qp095m,48,0:0,0.0204823479473542,Residential,2,Not Allowed,Yes,26.09274752228545,Sunny
61,qp095v,48,0:0,0.0279674813815603,Residential,2,Not Allowed,Yes,0.4993619896977446,Snowy
62,qp09hj,48,0:0,0.1101754817771966,Residential,1,Not Allowed,No,,Sunny
63,qp09hm,48,0:0,0.0564348471684091,Residential,3,Allowed,Yes,18.678376886313934,Foggy
64,qp09ht,48,0:0,0.0624166733508955,Residential,2,Not Allowed,Yes,9.140847501327311,Rainy
65,qp09hv,48,0:0,0.1186887296030999,Residential,1,Not Allowed,No,12.411278993797815,Rainy
66,qp09jv,48,0:0,0.0038551576970718,Residential,1,Not Allowed,No,13.902481322282865,Rainy
67,qp03jq,48,0:0,0.0078582615121868,Residential,3,Allowed,Yes,12.241209279170029,Rainy
68,qp03jw,48,0:0,0.0244578324092644,Residential,2,Not Allowed,Yes,26.742689623446452,Sunny
69,qp03jy,48,0:0,0.0240074679481412,Residential,3,Allowed,Yes,28.190773329564163,Sunny
70,qp03nq,48,0:0,0.012561494937501,Residential,1,Not Allowed,No,16.274542078824833,Foggy
71,qp03nw,48,0:0,0.0067441414144705,Residential,2,Not Allowed,Yes,3.7355808295990016,Snowy
